               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.042715,            0.020124,            0.030032,             0.77235,              0.7784,             0.82754,             0.64078,            0.010171,            0.004631,           0.0076676,           0.0033258,           0.0033258,            0.070068
                   1,            0.029548,            0.012109,             0.01708,             0.88962,             0.86713,             0.92378,              0.6966,             0.01064,           0.0037533,           0.0043282,           0.0066526,           0.0066526,            0.040061
                   2,            0.028747,            0.011894,            0.017214,             0.81976,             0.83008,             0.86951,             0.63264,            0.010283,           0.0042906,           0.0052109,           0.0099727,           0.0099727,            0.010048
                   3,            0.026221,            0.011557,            0.015766,              0.8729,             0.82731,               0.915,             0.71746,           0.0084244,           0.0040567,           0.0051976,           0.0099703,           0.0099703,           0.0099703
                   4,            0.024061,             0.01092,            0.013581,              0.8663,             0.83102,              0.9302,             0.78722,           0.0079315,           0.0032416,            0.004936,           0.0099703,           0.0099703,           0.0099703
                   5,            0.022023,            0.010607,            0.013737,             0.87099,             0.86794,             0.92863,             0.76346,           0.0082932,           0.0035666,           0.0036278,           0.0099604,           0.0099604,           0.0099604
                   6,            0.022553,            0.010398,            0.012525,               0.898,              0.8684,             0.93575,             0.79149,           0.0071576,           0.0032335,           0.0034984,           0.0099505,           0.0099505,           0.0099505
                   7,            0.020098,            0.010218,            0.012354,             0.89407,             0.86839,             0.92792,             0.78147,           0.0076657,           0.0039224,           0.0033013,           0.0099406,           0.0099406,           0.0099406
                   8,            0.020289,            0.010154,            0.011545,             0.92662,             0.91972,             0.94984,             0.70504,           0.0086524,           0.0041692,            0.002117,           0.0099307,           0.0099307,           0.0099307
                   9,            0.018439,            0.009684,             0.01004,             0.90352,             0.88529,             0.93208,             0.79405,           0.0063983,           0.0031772,           0.0030907,           0.0099208,           0.0099208,           0.0099208
                  10,            0.018375,           0.0098478,             0.01062,             0.93713,               0.929,             0.95884,              0.8519,           0.0059443,           0.0028675,           0.0020149,           0.0099109,           0.0099109,           0.0099109
                  11,            0.017518,           0.0094876,            0.010034,             0.88891,              0.8815,             0.94703,             0.84052,           0.0055122,           0.0028808,           0.0035987,            0.009901,            0.009901,            0.009901
                  12,            0.017911,           0.0097483,             0.01019,             0.94555,             0.91793,              0.9613,             0.85288,           0.0057061,           0.0028744,           0.0017407,           0.0098911,           0.0098911,           0.0098911
                  13,             0.01853,           0.0096308,           0.0092073,             0.93082,             0.91157,             0.95598,             0.84256,           0.0056412,            0.002911,           0.0020446,           0.0098812,           0.0098812,           0.0098812
                  14,            0.017842,           0.0098944,            0.011619,             0.92508,             0.91223,             0.95356,             0.85135,           0.0057989,           0.0029978,           0.0024497,           0.0098713,           0.0098713,           0.0098713
                  15,            0.017066,           0.0095236,            0.010226,              0.9441,             0.93035,             0.96247,             0.86792,           0.0054125,           0.0027382,           0.0015904,           0.0098614,           0.0098614,           0.0098614
                  16,            0.016301,           0.0094174,           0.0088369,             0.96839,             0.93727,             0.96737,             0.86072,           0.0054916,           0.0027356,           0.0011173,           0.0098515,           0.0098515,           0.0098515
                  17,            0.015896,           0.0091323,           0.0090447,             0.95457,             0.93875,             0.96727,             0.87111,           0.0051792,           0.0027113,           0.0010554,           0.0098416,           0.0098416,           0.0098416
                  18,            0.016603,           0.0090742,           0.0084915,             0.96468,             0.93076,              0.9622,             0.86696,           0.0057954,           0.0027819,           0.0010811,           0.0098317,           0.0098317,           0.0098317
                  19,            0.015784,           0.0088533,           0.0090268,             0.95081,             0.93303,             0.96462,               0.869,           0.0052865,           0.0026362,           0.0015904,           0.0098218,           0.0098218,           0.0098218
                  20,            0.015709,            0.009137,           0.0080953,             0.96386,             0.93367,             0.96967,              0.8813,           0.0052129,           0.0026313,           0.0010405,           0.0098119,           0.0098119,           0.0098119
                  21,            0.015347,           0.0086805,            0.007573,             0.95188,             0.92112,             0.96507,             0.87958,           0.0046073,             0.00261,           0.0014116,            0.009802,            0.009802,            0.009802
                  22,            0.015478,           0.0087664,           0.0071245,              0.9559,             0.94393,              0.9651,             0.87811,           0.0050622,             0.00264,           0.0010758,           0.0097921,           0.0097921,           0.0097921
                  23,            0.014957,           0.0088393,           0.0071734,             0.97282,             0.95142,             0.97098,             0.88567,           0.0047963,           0.0025736,          0.00076428,           0.0097822,           0.0097822,           0.0097822
                  24,            0.014831,           0.0086155,           0.0070716,             0.96891,             0.95537,              0.9712,             0.88791,           0.0047337,           0.0025628,          0.00066577,           0.0097723,           0.0097723,           0.0097723
                  25,            0.015187,           0.0087827,            0.007968,             0.97102,             0.94193,             0.96798,             0.87722,           0.0049841,            0.002636,          0.00092452,           0.0097624,           0.0097624,           0.0097624
                  26,            0.016255,           0.0090205,           0.0084324,             0.97748,             0.94735,             0.97068,             0.88067,           0.0050394,           0.0025983,          0.00073189,           0.0097525,           0.0097525,           0.0097525
                  27,            0.015348,           0.0087151,           0.0073929,             0.97581,             0.95293,             0.96915,              0.8846,            0.005167,           0.0025286,          0.00068534,           0.0097426,           0.0097426,           0.0097426
                  28,            0.015196,           0.0087978,           0.0068912,             0.95837,             0.94845,             0.96722,             0.88527,           0.0046047,           0.0025668,          0.00094088,           0.0097327,           0.0097327,           0.0097327
                  29,            0.014454,           0.0085255,           0.0067329,             0.95956,             0.94831,             0.97079,             0.88541,           0.0048617,           0.0025496,          0.00093682,           0.0097228,           0.0097228,           0.0097228
                  30,              0.0143,           0.0086062,           0.0076465,             0.96769,             0.95125,             0.96822,             0.88634,           0.0049866,           0.0025162,          0.00077935,           0.0097129,           0.0097129,           0.0097129
                  31,            0.014242,           0.0086047,           0.0069538,                0.98,              0.9581,             0.97094,             0.89487,            0.004715,           0.0025454,          0.00053487,            0.009703,            0.009703,            0.009703
                  32,            0.014169,           0.0085836,           0.0072478,             0.98288,             0.95511,             0.97218,             0.89853,           0.0045391,           0.0024652,          0.00056608,           0.0096931,           0.0096931,           0.0096931
                  33,            0.013913,           0.0084023,           0.0070664,             0.96782,             0.94209,             0.96687,             0.88761,           0.0047111,           0.0025466,          0.00097939,           0.0096832,           0.0096832,           0.0096832
                  34,            0.014436,           0.0086281,           0.0072977,             0.97645,             0.95106,              0.9703,              0.8829,           0.0048431,           0.0025634,          0.00065694,           0.0096733,           0.0096733,           0.0096733
                  35,            0.014776,           0.0085565,           0.0063698,             0.97295,             0.95384,             0.97141,             0.89161,           0.0049374,           0.0024926,           0.0006749,           0.0096634,           0.0096634,           0.0096634
                  36,            0.013979,           0.0083684,           0.0059905,             0.98075,             0.95966,             0.97324,             0.89586,           0.0044925,           0.0024479,          0.00041989,           0.0096535,           0.0096535,           0.0096535
                  37,            0.013779,           0.0085515,           0.0062483,             0.97593,             0.95705,             0.97111,             0.89316,           0.0046925,            0.002494,          0.00065745,           0.0096436,           0.0096436,           0.0096436
                  38,            0.013421,           0.0082514,           0.0059828,             0.98515,             0.95728,             0.97314,             0.89158,           0.0045081,            0.002479,          0.00044959,           0.0096337,           0.0096337,           0.0096337
                  39,             0.01417,            0.008206,           0.0065877,             0.97684,             0.95976,              0.9719,             0.89497,           0.0043006,           0.0024192,          0.00048444,           0.0096238,           0.0096238,           0.0096238
                  40,             0.01411,           0.0084869,           0.0066298,             0.97857,              0.9568,             0.97203,             0.89652,           0.0043317,           0.0024298,          0.00058118,           0.0096139,           0.0096139,           0.0096139
                  41,            0.014244,           0.0083964,           0.0062906,             0.98153,             0.95734,             0.97215,              0.8966,           0.0043117,           0.0024382,          0.00048663,            0.009604,            0.009604,            0.009604
                  42,            0.013461,           0.0083545,           0.0053875,             0.98858,             0.96043,             0.97256,             0.89615,           0.0045377,            0.002447,          0.00058246,           0.0095941,           0.0095941,           0.0095941
                  43,            0.014728,            0.008738,           0.0078482,             0.97845,             0.95744,             0.97268,              0.8973,           0.0045273,           0.0024891,          0.00048415,           0.0095842,           0.0095842,           0.0095842
                  44,            0.013213,            0.008353,            0.006761,             0.97553,             0.95643,             0.97309,             0.89654,           0.0046719,           0.0024633,          0.00043913,           0.0095743,           0.0095743,           0.0095743
                  45,            0.014025,           0.0085076,           0.0063521,             0.97739,              0.9635,              0.9726,              0.9008,           0.0039763,            0.002391,          0.00046276,           0.0095644,           0.0095644,           0.0095644
                  46,            0.015358,           0.0088588,           0.0083544,             0.98284,             0.95821,             0.97275,             0.89718,           0.0047009,           0.0024056,          0.00042932,           0.0095545,           0.0095545,           0.0095545
                  47,            0.012919,           0.0082222,           0.0062506,              0.9803,             0.95725,             0.97258,             0.90102,           0.0045671,           0.0024112,          0.00038243,           0.0095446,           0.0095446,           0.0095446
                  48,            0.014187,           0.0084522,            0.006417,             0.98281,             0.96427,             0.97277,             0.90092,           0.0045297,           0.0023821,          0.00033985,           0.0095347,           0.0095347,           0.0095347
                  49,            0.013125,            0.008275,           0.0056404,             0.97851,             0.96369,             0.97331,             0.90192,           0.0044705,           0.0023855,           0.0004534,           0.0095248,           0.0095248,           0.0095248
                  50,            0.012902,           0.0081363,            0.006507,             0.98643,             0.95804,             0.97324,             0.90605,           0.0043804,           0.0023386,          0.00042934,           0.0095149,           0.0095149,           0.0095149
                  51,            0.013657,           0.0082271,           0.0057697,             0.98159,             0.96493,              0.9718,             0.90772,           0.0042725,           0.0023372,          0.00035719,            0.009505,            0.009505,            0.009505
                  52,            0.013419,           0.0081474,           0.0052155,             0.98467,             0.96615,              0.9733,             0.90526,            0.004326,            0.002335,          0.00029519,           0.0094951,           0.0094951,           0.0094951
                  53,            0.013307,           0.0081306,           0.0053961,             0.98609,             0.96268,             0.97305,             0.90541,           0.0041946,           0.0023284,          0.00032566,           0.0094852,           0.0094852,           0.0094852
                  54,             0.01297,           0.0079837,           0.0055251,             0.98322,             0.96213,              0.9726,             0.90365,           0.0042762,           0.0023754,          0.00032297,           0.0094753,           0.0094753,           0.0094753
                  55,            0.012808,           0.0082555,           0.0052721,             0.98493,             0.96557,             0.97337,             0.90418,           0.0042632,           0.0023343,          0.00023783,           0.0094654,           0.0094654,           0.0094654
                  56,            0.013764,           0.0082683,           0.0056593,             0.98515,             0.96349,              0.9718,             0.90839,           0.0041964,           0.0023291,          0.00029189,           0.0094555,           0.0094555,           0.0094555
                  57,            0.013583,           0.0082905,           0.0056165,             0.98363,             0.96042,              0.9738,             0.90535,           0.0043712,           0.0023365,          0.00034649,           0.0094456,           0.0094456,           0.0094456
                  58,            0.013581,           0.0081542,           0.0060353,             0.98152,             0.96174,             0.97231,              0.9055,           0.0043878,           0.0023563,           0.0003254,           0.0094357,           0.0094357,           0.0094357
                  59,            0.013154,           0.0081255,           0.0058508,             0.98569,             0.96513,             0.97377,             0.90905,           0.0041522,           0.0023422,          0.00022993,           0.0094258,           0.0094258,           0.0094258
                  60,            0.012687,           0.0080811,           0.0053611,             0.98293,             0.96454,             0.97119,             0.90812,            0.004043,           0.0023296,          0.00026917,           0.0094159,           0.0094159,           0.0094159
                  61,            0.012939,           0.0080762,           0.0052046,             0.98763,             0.96576,             0.97329,             0.91048,             0.00403,           0.0023104,          0.00019612,            0.009406,            0.009406,            0.009406
                  62,            0.013291,           0.0080821,           0.0056437,              0.9863,             0.96314,             0.97311,             0.91102,           0.0040773,           0.0022763,          0.00033389,           0.0093961,           0.0093961,           0.0093961
                  63,             0.01326,           0.0080708,           0.0054204,             0.98877,             0.96305,             0.97138,              0.9093,           0.0042496,           0.0022923,          0.00027472,           0.0093862,           0.0093862,           0.0093862
                  64,            0.013006,           0.0081279,           0.0053575,             0.98762,             0.96583,             0.97311,             0.90636,           0.0044263,           0.0022854,          0.00029049,           0.0093763,           0.0093763,           0.0093763
                  65,            0.013996,           0.0079989,           0.0052934,             0.99117,              0.9659,             0.97376,              0.9121,           0.0040358,           0.0022724,          0.00021069,           0.0093664,           0.0093664,           0.0093664
                  66,            0.013023,           0.0080016,           0.0049884,             0.99025,             0.96758,             0.97367,             0.91393,           0.0039273,            0.002234,          0.00022361,           0.0093565,           0.0093565,           0.0093565
                  67,            0.012125,           0.0079874,           0.0052013,             0.98947,             0.96394,             0.97331,             0.91274,           0.0040842,           0.0022683,          0.00023678,           0.0093466,           0.0093466,           0.0093466
                  68,            0.013276,           0.0082332,           0.0052329,             0.98891,             0.96785,             0.97398,             0.91206,           0.0039877,           0.0022804,          0.00020824,           0.0093367,           0.0093367,           0.0093367
                  69,            0.012757,           0.0079073,           0.0054736,              0.9914,              0.9642,             0.97378,             0.91277,           0.0040827,           0.0022673,          0.00018752,           0.0093268,           0.0093268,           0.0093268
                  70,            0.012854,           0.0079777,           0.0052347,             0.98859,             0.96567,             0.97381,             0.91251,           0.0040958,           0.0022502,          0.00020825,           0.0093169,           0.0093169,           0.0093169
                  71,            0.012682,           0.0079841,           0.0057047,             0.98933,             0.96276,             0.97379,             0.91363,           0.0042373,           0.0022757,          0.00024429,            0.009307,            0.009307,            0.009307
                  72,            0.013059,           0.0079732,           0.0066134,             0.98582,             0.96372,             0.97314,             0.90942,           0.0041091,           0.0023192,           0.0002451,           0.0092971,           0.0092971,           0.0092971
                  73,            0.012837,           0.0080161,           0.0054343,             0.98539,             0.96395,             0.97352,             0.91284,           0.0038837,           0.0022757,          0.00026848,           0.0092872,           0.0092872,           0.0092872
                  74,            0.013273,           0.0081405,           0.0055103,             0.98866,             0.96458,             0.97295,             0.91074,           0.0040271,           0.0022756,          0.00023746,           0.0092773,           0.0092773,           0.0092773
                  75,            0.013045,           0.0083302,           0.0051686,             0.98869,             0.96374,              0.9735,             0.91147,           0.0039669,           0.0022885,          0.00019886,           0.0092674,           0.0092674,           0.0092674
                  76,            0.012969,            0.008113,           0.0052365,             0.98906,             0.96552,             0.97371,             0.91463,           0.0039627,             0.00224,          0.00024829,           0.0092575,           0.0092575,           0.0092575
                  77,             0.01307,            0.008004,           0.0053203,             0.98818,             0.96646,             0.97381,             0.91286,           0.0041116,           0.0022415,          0.00022683,           0.0092476,           0.0092476,           0.0092476
                  78,            0.012726,           0.0079656,           0.0053283,             0.98667,             0.96555,             0.97381,             0.91242,           0.0038864,           0.0022414,          0.00023906,           0.0092377,           0.0092377,           0.0092377
                  79,            0.012915,           0.0079044,           0.0050362,              0.9846,             0.96688,             0.97387,             0.91241,           0.0040974,            0.002251,          0.00022142,           0.0092278,           0.0092278,           0.0092278
                  80,            0.012802,           0.0078397,           0.0048038,              0.9845,             0.96585,             0.97403,             0.91502,           0.0040268,           0.0022485,          0.00023527,           0.0092179,           0.0092179,           0.0092179
                  81,            0.012357,           0.0077702,           0.0045857,             0.98626,             0.96462,             0.97377,             0.91481,           0.0040929,           0.0022371,          0.00021471,            0.009208,            0.009208,            0.009208
                  82,            0.012116,           0.0078845,           0.0050712,             0.98565,             0.96723,             0.97397,             0.91602,           0.0039834,           0.0022221,          0.00019109,           0.0091981,           0.0091981,           0.0091981
                  83,            0.012585,           0.0079293,           0.0053615,             0.98652,             0.96739,             0.97375,             0.91489,           0.0038763,           0.0022284,          0.00019399,           0.0091882,           0.0091882,           0.0091882
                  84,            0.013223,           0.0080969,           0.0061911,             0.98582,             0.96718,              0.9739,             0.91466,           0.0039158,           0.0022309,          0.00021326,           0.0091783,           0.0091783,           0.0091783
                  85,            0.012557,           0.0079727,            0.005457,             0.98685,             0.96615,             0.97358,             0.91588,           0.0040251,             0.00223,          0.00025604,           0.0091684,           0.0091684,           0.0091684
                  86,            0.012918,           0.0081608,           0.0058404,             0.98683,             0.96491,             0.97345,             0.91553,            0.003993,           0.0022323,          0.00024995,           0.0091585,           0.0091585,           0.0091585
                  87,            0.013169,           0.0084466,           0.0063494,             0.98307,             0.96521,             0.97362,             0.91353,           0.0039307,           0.0022352,          0.00029235,           0.0091486,           0.0091486,           0.0091486
                  88,            0.012578,           0.0079469,           0.0056516,             0.98433,             0.96677,             0.97351,             0.91186,           0.0038993,           0.0022386,          0.00022933,           0.0091387,           0.0091387,           0.0091387
                  89,            0.012186,           0.0079255,           0.0049024,             0.99077,              0.9625,              0.9735,             0.91297,           0.0039212,           0.0022294,          0.00023385,           0.0091288,           0.0091288,           0.0091288
                  90,            0.012905,           0.0080417,            0.005565,             0.98591,             0.96785,             0.97358,             0.91366,           0.0037996,           0.0022254,          0.00020571,           0.0091189,           0.0091189,           0.0091189
                  91,            0.013161,           0.0080314,           0.0055449,             0.98924,             0.96352,             0.97348,             0.91448,           0.0038142,            0.002213,          0.00019718,            0.009109,            0.009109,            0.009109
                  92,            0.012886,           0.0080432,           0.0053202,             0.98909,             0.96399,             0.97357,             0.91572,           0.0038851,           0.0022157,          0.00020385,           0.0090991,           0.0090991,           0.0090991
                  93,            0.012628,            0.008084,           0.0054217,              0.9878,             0.96448,             0.97351,             0.91469,           0.0038934,           0.0022039,          0.00021289,           0.0090892,           0.0090892,           0.0090892
                  94,            0.012042,           0.0080299,           0.0059158,             0.99003,             0.96579,             0.97382,             0.91451,           0.0039418,           0.0021844,          0.00021239,           0.0090793,           0.0090793,           0.0090793
                  95,            0.012094,            0.007921,           0.0057035,             0.98907,             0.96733,             0.97377,             0.91556,           0.0039283,           0.0021854,          0.00025333,           0.0090694,           0.0090694,           0.0090694
                  96,            0.012223,            0.007751,           0.0051533,             0.98959,             0.96578,             0.97386,             0.91589,           0.0038467,           0.0021829,          0.00024466,           0.0090595,           0.0090595,           0.0090595
                  97,            0.012642,           0.0078601,           0.0050404,             0.99028,             0.96608,               0.974,             0.91768,           0.0037808,           0.0021799,          0.00023009,           0.0090496,           0.0090496,           0.0090496
                  98,            0.012215,           0.0078493,           0.0054262,             0.99123,             0.96565,             0.97484,              0.9186,            0.003674,            0.002181,          0.00020982,           0.0090397,           0.0090397,           0.0090397
                  99,            0.012168,           0.0077836,           0.0043497,             0.99118,              0.9668,             0.97396,             0.91746,            0.003597,           0.0021758,           0.0001925,           0.0090298,           0.0090298,           0.0090298
                 100,            0.011572,           0.0074292,           0.0044509,             0.99076,             0.96643,             0.97385,             0.91717,            0.003601,           0.0021818,          0.00017511,           0.0090199,           0.0090199,           0.0090199
                 101,            0.012138,           0.0078583,           0.0051209,             0.99187,             0.96501,             0.97385,             0.91757,           0.0036599,           0.0021815,          0.00016834,             0.00901,             0.00901,             0.00901
                 102,            0.012497,           0.0078633,           0.0049921,             0.99111,             0.96476,             0.97389,             0.91824,           0.0036511,            0.002169,          0.00017796,           0.0090001,           0.0090001,           0.0090001
                 103,            0.012433,           0.0078943,            0.005075,             0.98857,              0.9658,             0.97386,             0.91754,           0.0037187,           0.0021633,          0.00018579,           0.0089902,           0.0089902,           0.0089902
                 104,            0.012714,           0.0077838,           0.0045093,              0.9871,             0.96692,             0.97396,             0.91798,           0.0037096,            0.002161,          0.00017632,           0.0089803,           0.0089803,           0.0089803
                 105,            0.012882,           0.0079056,           0.0048984,             0.98625,             0.96713,             0.97385,             0.91742,           0.0037087,             0.00216,          0.00017371,           0.0089704,           0.0089704,           0.0089704
                 106,            0.011984,           0.0076888,           0.0046512,             0.98636,             0.96789,             0.97393,             0.91814,           0.0036906,            0.002156,          0.00016828,           0.0089605,           0.0089605,           0.0089605
                 107,            0.012371,           0.0078651,           0.0055806,             0.98722,             0.96842,             0.97409,              0.9186,           0.0037156,             0.00216,          0.00015831,           0.0089506,           0.0089506,           0.0089506
                 108,            0.012116,           0.0077999,           0.0053698,             0.98643,             0.96859,             0.97402,             0.91793,           0.0037162,           0.0021707,          0.00015972,           0.0089407,           0.0089407,           0.0089407
                 109,             0.01248,           0.0079818,           0.0052681,             0.99086,             0.96371,             0.97404,             0.91871,           0.0036777,           0.0021785,          0.00016755,           0.0089308,           0.0089308,           0.0089308
                 110,            0.012748,           0.0078168,           0.0044699,             0.99004,             0.96365,             0.97408,             0.91893,            0.003639,            0.002183,          0.00016989,           0.0089209,           0.0089209,           0.0089209
